words	gend_m
paragraph	3.853
paralyse	4.2
paralysis	4.206
paranoid	3.824
parasite	4.5
parcel	4.114
parish	4.704
park	3.828
park (car)	4.563
park (public land)	4.114
parlour	2.844
parochial	4.875
parole	5.133
parrot	4.206
parsley	3.546
part	4.114
part (divide)	3.939
part (portion)	4.059
partial	4.03
particular	3.286
parts	4.5
party	3.697
party (celebration)	3.606
party (group)	3.914
pass	4
pass (move past)	3.886
pass (permission)	3.697
pass (route)	4.286
passage	3.807
passageway	4.2
passion	2.839
passionate	2.6
passive	3.286
pasta	3.516
paste	4
pastry	2.824
patch	4.324
patch (area)	4.088
patch (repair)	4.441
patent	4.118
path	3.879
patient	3.303
patient (medical)	4.029
patient (tolerant)	3
patriot	5.406
patrol	5.353
patron	4.065
pause	3.939
payment	4.719
payroll	4.543
pea	3.667
peace	2.636
peaceful	2.485
peach	2.412
peacock	3.457
peal	3.656
peanut	4.412
pear	3.343
pearl	1.815
peas	3.885
pebble	3.303
pecan	3.886
peck	3.2
peculiar	4.394
peddle	4.265
peek	3.6
peel	3.333
peep	3.618
peer	3.765
peer (colleague)	3.939
peer (look)	3.677
peers	4
peg	3.735
pelt	4.688
pelvis	4.088
pen	4.235
pen (cage)	4.303
pen (ink)	4.486
penalty	5.4
pence	3.735
pencil	4.097
penguin	3.788
penicillin	4.172
penis	6.714
penny	3.636
pension	4.258
pensive	3.767
penthouse	4.706
people	4.029
pepper	4.235
pepper (black)	5.143
pepper (lightly cover)	3.613
pepper (vegetable)	3.765
perceive	3.882
percent	4.4
perception	3.714
perform	3.394
performance	3.914
performer	3.886
perfume	1.75
period	2.529
periodical	4.206
periodical (intermittent)	4.226
periodical (newspaper)	4.931
perjury	4.433
perky	2.5
permanent	4.281
permission	3.303
perpetrator	5
persecute	5
persecution	4.686
persist	4.118
persistent	3.471
person	3.939
personal	3.314
personality	3.375
perspiration	5.091
pervert	5.971
pessimist	4.294
pest	4.727
pester	4.3
pet	3.536
petal	1.914
petrol	5.061
petty	3.429
phantom	4.667
pharmacist	3.914
pharmacy	3.588
phase	4.057
pheasant	4.667
phenomenal	4.029
phenomenon	3.909
philosophy	4.031
phone	3.821
photo	3.5
photographer	4.613
phrase	3.886
physical	5.441
physician	5.061
physics	5.429
pianist	4.222
piano	3.621
pick	4.258
picket	4.161
pickle	4.353
pickle (difficulty)	3.781
pickle (preserve)	3.941
picture	3.382
pie	4.543
piece	3.656
pier	4.194
pig	5
pigeon	4.118
pile	4.364
pill	3.357
pillow	3.147
pilot	5.781
pimp	5.914
pimple	3.758
pin	3.529
pinch	3.849
pine	3.706
pine (long for)	3.091
pine (tree/wood)	4.529
pineapple	3.294
pink	1.857
pint	5.546
pint (beer)	5.758
pint (volume)	5.441
pioneer	5.235
pipe	5.4
pipe (tobacco)	5.909
pipe (water)	4.457
pistol	5.706
piston	5.586
pitch	4.259
pitch (field of play)	5.714
pitch (musical)	2.806
pitch (tar)	4.828
pitch (throw)	5.059
pitiful	4.029
pity	3.333
pizza	4.667
plain	3.824
plan	4.235
plane	4.765
plane (aircraft)	5
plane (surface)	4.294
plane (wood)	4.909
planet	4.242
plank	4.758
plant	3.355
plant (factory)	5.143
plant (flower)	2.471
plant (position)	4.029
plantation	4.469
plasma	4.343
plaster	4.407
plaster (bandage)	3.853
plaster (wall)	5.543
plate	3.774
platter	3.853
play	3.529
play (game)	4.147
play (stage performance)	3.059
player	5.457
playful	3.029
plea	3.257
plead	3.606
please	3.229
pleasure	2.971
pledge	4.152
pliers	5.853
plight	3.625
plot	4.406
plot (conspiracy)	4.879
plot (graph)	4.559
plot (land)	4.636
plot (story)	3.818
plough	5.355
ploy	4.303
plug	4.686
plug (blockage)	4.882
plug (electric)	4.971
plum	3.182
plumber	6
plump	3.029
plural	3.875
poach	4.759
poach (cook)	3.576
poach (hunt)	5.849
pocket	4.303
poet	4.281
poetry	3.029
point	4.061
point (argument)	4.206
point (finger)	4.382
point (location)	4.286
poison	4.667
poisoned	4.371
poke	4.313
poker	5.686
poker (cards)	5.735
poker (rod)	5.313
polar	4.143
pole	3.618
police	5.546
policeman	6.588
polish	3.171
polite	3
politician	5.719
poll	4.364
pollute	4.786
pollution	4.613
polyester	3.912
ponce	4.467
pond	3.629
pony	2.206
poodle	2.571
pool	3.588
pool (billiards)	5.206
pool (shared)	4.182
pool (water)	3.371
poor	4.313
pope	5.667
population	4.086
pork	5
porpoise	3.464
port	4.853
port (harbour)	4.788
port (wine)	3.971
portal	4.647
porter	5.387
portion	3.886
portrait	3.735
position	4.152
positive	3.371
possess	4.257
possession	4.029
possessive	4.818
post	4.086
post (mail)	4.647
post (pole)	4.636
post (position)	4.618
poster	3.944
postman	6.364
posture	3.618
pot	3.909
pot (drugs)	5.091
pot (pan)	3.647
potato	4.5
potent	4.206
pottery	3
poultry	3.882
pound	4.588
pound (dogs)	4.636
pound (hammer)	5.686
pound (money)	4.531
pound (weight)	4.229
poverty	4.324
power	5.333
powerful	5.406
powerless	3.229
practical	4.5
practice	3.941
prairie	3.094
praise	2.657
pram	2.441
prawn	3.943
pray	3.677
prayer	3.429
precise	3.75
predicament	4.091
preface	4.091
prefix	3.853
premium	4.118
present	3.727
present (gift)	3.353
present (show)	3.914
president	5.849
pressure	4.469
prestige	4.529
pretty	1.636
pretzel	4.235
prevent	4.382
preview	4.061
prick	5.912
prick (dick)	6.588
prick (stab)	5.177
pride	4.857
pride (feeling)	4.424
pride (lions)	5.441
primal	5.429
primary	3.5
prince	6.6
princess	1.382
print	4.185
prior	3.839
prison	5.548
prisoner	5.375
privacy	3.286
private	3.303
prize	3.967
probe	4.765
process	3.912
process (modify)	4.371
process (procedure)	4.206
process (understand)	3.97
procession	4.121
product	4.324
production	4.4
profession	4.364
professional	4.486
professor	5.914
profile	4.061
profit	4.824
profound	4.114
programme	4.281
progress	4.182
progression	4.177
project	4.324
project (enterprise)	4.912
project (protrude)	4.455
projector	4.5
prolong	4.121
promote	4.471
promotion	4.485
prone	4.035
pronoun	4.235
proof	4.303
proper	3.379
property	4.686
prophet	4.968
propose	4.2
proprietor	4.867
prose	3.294
prosecute	4.97
prosecution	4.971
prosecutor	5.529
prosper	4.167
prosperity	3.743
prosperous	4.324
prostitute	2.455
protect	4.971
protected	3.8
protection	4.879
protest	4.455
proud	4.242
prove	4.324
provide	4.667
proxy	4.321
prudent	3.242
prune	3.424
prune (fruit)	3.235
prune (trim)	3.242
psychiatrist	3.606
psychologist	3.471
psychology	3.606
psychopath	5.514
psychotic	4.5
public	4.294
pudding	3.438
puffin	4
puke	4.879
pull	3.97
pull (attratcion)	3.697
pull (drag)	4.424
pulley	3.964
pulpit	4.714
pulse	3.788
pulse (e.g. beans)	4.152
pulse (heartbeat)	3.147
pump	4.743
pumpkin	3.706
pumps	3.235
pumps (equipment)	4.971
pumps (shoes)	1.618
punch	5.931
punch (drink)	3.686
punch (strike)	6.182
pungent	4.97
punish	5.114
punishment	5.069
pupil	3.719
pupil (eye)	3.943
pupil (school)	3.971
puppy	3.091
pure	2.182
purple	2.853
purse	1.452
pursue	4.091
pursued	3.656
pursuit	4.559
pus	4.25
push	4.529
pussy	2.333
pussy (cat)	2.324
pussy (vagina)	1.206
pussy (wimp)	3.686
putrid	4.917
puzzle	4.114
puzzle (jigsaw)	3.818
puzzle (mystery)	3.912
pyramid	4.333
python	5.242
quack	4.235
quack (charlatan)	4.677
quack (duck)	3.677
quality	3.486
quantity	4.324
quantum	5.03
quarrel	3.939
quarry	5.214
quay	4.613
queen	1.313
queen (gay)	3.559
queen (king)	1.546
quest	4.943
question	3.735
queue	3.849
quibble	3.645
quick	3.929
quiescent	3.267
quiet	3.107
quietly	2.75
quill	3.516
quit	4.485
quite	3.529
quitter	4.457
rabbi	6.032
rabbit	3.265
rabies	4.235
raccoon	4.455
race	4.303
race (colour)	4.229
race (contest)	5.125
racist	4.6
racket	4.727
racket (noise)	4.235
racket (tennis)	4.273
radiant	2.214
radiator	4.241
radio	4.387
rage	5.886
rail	4.559
railroad	5.515
rain	3.882
rainbow	2.171
rainforest	3.576
raise	3.824
raise (bring up)	3.257
raise (increase)	4.086
raise (lift)	4.257
raisin	3.394
ranch	4.971
rancid	5.029
random	3.903
randy	5.484
range	4.118
range (array)	4.212
range (outdoors)	5.313
ranger	5.636
rank	5.333
rank (foul)	5.031
rank (position)	5.471
rape	4.818
rapist	5.886
rare	3.912
rare (uncommon)	3.382
rare (uncooked)	4.576
rash	4.514
rash (reckless)	5
rash (skin)	3.914
raspberry	2.667
rat	5
rat (animal)	4.97
rat (inform)	4.829
rate	4.061
rather	3.781
rating	4.265
ration	4.235
rattle	3.818
rattlesnake	4.813
raven	3.967
razor	5.161
react	3.879
reaction	3.941
read	3.6
real	3.941
realize	3.697
rear	3.886
rear (behind)	3.6
rear (raise)	3.419
reason	3.853
reasonable	3.278
reassure	2.656
reassuring	2.618
rebound	4.059
recall	3.818
recent	3.853
recital	3.576
recite	3.771
recognition	3.97
recognize	3.576
record	4.281
record (information)	4.743
record (to register)	4.063
rectangle	4.429
red	4.03
reduce	3.912
reef	3.607
reel	4.333
refill	4.242
reflect	3.182
reflection	2.971
reflex	4.559
refresh	2.971
refreshment	3.719
refrigerator	4.069
refugee	3.967
reggae	4.824
regime	5.133
region	4.03
regional	4.294
register	4.143
regret	3.886
regular	3.909
regulation	4.758
reindeer	3.943
reject	4.706
rejected	4.177
relate	3.441
relation	3.265
relative	3.75
relax	3.759
relaxing	3
relay	4.229
release	3.849
reliable	3.257
relic	4.333
relieved	3.6
religion	3.882
relish	3.765
remark	3.688
remarkable	3.971
remedy	3.156
remind	3.618
reminder	3.546
remorse	3.771
remorseful	3.758
remote	4.571
remote (controller)	4.912
remote (distant)	4.147
rendezvous	3.267
rent	4.457
repel	4.645
repent	4.25
replace	4.114
replacement	4.088
report	4.735
reporter	4.191
reptile	5.147
reptilian	5.229
request	3.593
rescue	5.061
research	4.25
researcher	4.29
resent	4.303
resentful	3.849
resentment	4.056
reserve	3.452
reserved	3.647
reset	4.138
resident	4.353
residential	4.059
residual	3.897
residue	4.382
resign	4.37
resort	4.067
respect	3.6
responsibility	3.455
responsible	3.235
rest	3.688
restaurant	3.943
restore	4.03
retail	3
retailer	3.333
reunion	3.759
reunite	3.177
reverent	4.185
reverse	4.039
review	4
revoke	4.375
revolt	5.138
revolting	4.969
revolution	5.152
revolve	4.529
revolver	5.364
reward	3.857
rhapsody	4.286
rheumatism	4.458
rhino	5.571
rhinoceros	5.469
rhyme	3.143
rhythm	3.294
ribs	4.382
rice	3.618
rich	4.829
riches	4.548
riddle	4.091
ride	4.424
rider	4.636
ridicule	4
ridiculous	4.147
rifle	5.667
right	3.667
right (correct)	3.5
right (left)	4.182
right (legal claim)	4.588
rigid	4.875
ring	2.5
ring (jewellery)	2
ring (sound)	3.727
ring (surround)	4.029
riot	5.424
ripe	3.486
risk	4.813
risky	4.818
ritual	4.242
ritualistic	4.367
rival	4.6
river	3.559
road	4.852
roar	5.286
robber	5.364
robbery	5.324
robe	4
robin	3.343
rock	5.457
rocket	5.719
rocket (go quickly)	5
rocket (leaves)	3.765
rocket (projectile)	5.515
rod	5.206
rogue	5
role	4.061
roll	4.121
roll (bread)	3.794
roll (turn over)	4.121
rollercoaster	4.714
rolling	3.938
romance	2.114
romantic	2.5
romanticize	2.206
roof	4.5
roofer	5.576
rooster	5.514
root	4
rose	1.882
rot	4.968
rotten	4.686
rough	5.429
royal	3.367
rubble	4.788
ruby	2.314
rude	4.849
ruffle	3.273
rugby	6.241
ruin	4.853
ruined	4.829
ruler	4.606
ruler (leader)	5.529
ruler (measure)	4.5
rumour	3.086
run	4.677
run (race)	4.818
run (series)	4.206
run (stockings)	2.677
run (test)	4.5
runner	5
rural	3.967
rust	5.611
rusty	4.97
sack	4.765
sad	3.686
sadness	3.667
safe	3.849
safely	3.03
safety	3.5
sage	3.606
sage (herb)	2.882
sage (wise man)	6.029
sail	4.313
sailor	5.686
saint	4.152
salad	2.969
salary	4.471
sale	3
salmon	3.677
saloon	4.424
salsa	3.267
salt	4.514
salty	4.517
salutation	3.9
salute	5.5
salvage	4.559
salvaged	4.735
same	4
sandals	3.382
sandwich	4.333
sane	3.914
sanity	3.629
sapphire	2.303
satire	4.697
satisfaction	3.294
satisfied	3.559
sauce	3.941
sauna	3.029
sausage	5.333
savant	4.524
saviour	4.909
saxophone	4.118
scab	4.679
scald	4.375
scale	3.912
scale (fish)	4.206
scale (magnitude)	4.394
scale (musical)	3.235
scale (weighing)	2.941
scalp	4.548
scalpel	4.364
scandal	3.088
scapegoat	4.531
scar	4.857
scarce	3.849
scare	4.276
scarecrow	5.036
scared	3.429
scarf	3.091
scarlet	2.229
scars	4.909
scary	4.645
scent	2.2
sceptic	4.618
sceptical	4.343
scheme	4.121
scholar	4.667
school	3.939
science	5.257
scientific	5.086
scientist	5.091
scissors	3.8
scoop	4.177
scooter	4.3
scope	4.32
scorch	4.5
score	4.731
scored	5.08
scorn	3.936
scorpion	5.235
scrap	4.679
scream	2.778
screaming	2.697
screw	5.333
screw (builder)	5.788
screw (sex)	5.424
screwdriver	6.091
script	4
scrum	5.594
scum	5.273
scurvy	4.97
sea	3.849
seahorse	3.6
seal	3.688
seal (animal)	3.618
seal (close)	4.061
seasick	4.03
season	3.182
season (add spice)	3.543
season (period of time)	3.242
seasonal	3.546
seasonings	2.971
seat	4.057
second	3.853
second (position)	4.029
second (unit of time)	4.029
secretary	2.029
section	4.265
sector	4.667
secure	4.353
sediment	4.455
seduce	2.667
seduction	2.516
seed	3.407
seek	3.625
seesaw	3.706
seize	5.353
seldom	3.807
select	3.727
select (choose)	3.618
select (elite)	4.118
selection	3.714
selfish	4.441
sell	4.257
semester	4.129
send	3.807
senior	4.656
sensation	2.697
sensational	3
sense	3.2
sense (common)	3.273
sense (feel)	2.971
sensible	2.714
sensitive	2.118
sensual	2.364
sentence	3.813
sentence (phrase)	3.824
sentence (prison)	5.206
sentiment	2.469
sentimental	1.971
septic	4.529
serene	2.968
series	3.912
serious	4.686
sermon	4.529
serve	3.879
serve (perform duties)	4.152
serve (tennis)	4.765
service	4.177
services	3.706
session	4.206
set	4.25
set (determined)	4.281
set (group)	3.853
set (solidify)	4.882
setback	4.152
settle	3.412
settlement	4.647
several	3.912
severe	4.875
sew	2.382
sewer	4.844
sex	4.177
sex (gender)	3.943
sex (intercourse)	4.063
sexual	3.765
sexy	2
shade	3.714
shade (out of the sun)	3.394
shade (tint)	3.059
shadow	4.091
shaft	5.138
shake	4.303
shaky	3.933
shallow	3.706
shame	3.765
shameful	4.303
shampoo	2.613
shape	3.324
share	3.147
shark	5.597
sharp	4.345
sharp (blade)	5.2
sharp (smart)	4.455
sharpen	4.771
shave	6.029
shawl	2.138
shear	4.156
sheep	3.862
sheepskin	4
sheer	3.361
sheer (thin)	2.879
sheer (utter)	4.065
shelf	4.6
shell	3.423
shell (military)	5.939
shell (sea)	2.849
shelter	3.824
sherry	3
shield	5.588
shine	2.829
shiny	3.233
ship	5
ship (boat)	5
ship (transport)	4.818
ships	4.667
shirt	5.133
shit	5.143
shock	3.828
shocking	3.758
shoe	3.171
shoes	2.364
shoot	5.424
shoot (film)	4.333
shoot (gun)	5.829
shoot (plant)	3.697
shooting	5.781
shore	3.5
short	3.269
shortage	4.029
shot	4.853
shot (gun)	5.412
shot (injection)	4.618
shotgun	6
show	3.5
shrew	3.313
shrewd	3.686
shriek	2.5
shrill	3.161
shrimp	4.061
shroud	3.69
shrug	4.194
shudder	3.813
shuddering	3.588
shy	2.882
sick	4.412
sick (disgusting)	4.647
sick (ill)	3.941
sickness	3.971
sigh	3.333
signal	4.212
silence	3.529
silent	3.8
silk	1.969
silly	4
simmer	3.6
simple	4
sin	4.735
sincere	2.882
sing	2.849
singer	2.571
singular	3.879
sinister	4.97
sink	3.833
sink (dishes)	3.313
sink (go down)	4.429
sins	4.706
sissy	2.971
sister	1.471
sit	3.971
situation	4
skeleton	4.758
sketch	3.514
sketch (drawing)	3.429
sketch (play)	3.909
ski	4.171
skiing	4.207
skijump	5
skill	4.125
skilled	4.25
skin	3.071
skinny	2.559
skirt	1.618
skirt (clothes)	1.294
skirt (go around)	3.147
skis	4.091
skull	4.808
skunk	4.969
sky	3.294
skyline	4.063
skyscraper	4.971
slab	4.75
slack	4.5
slap	3.182
slash	4.943
slaughter	5.849
slaughterhouse	5.714
slave	4.185
sleek	2.719
sleep	3.677
sleepy	3.471
slide	3.912
slight	3.594
slight (little)	3.324
slight (offend)	4.286
slime	4.613
slimy	5.029
slip	3.177
slip (mistake)	3.969
slip (notepaper)	3.412
slip (slide)	3.606
slippers	3.242
slippery	3.765
slope	4.194
slow	3.767
slug	4.594
slug (hit)	5.625
slug (insect)	4.971
sluggish	4.939
slum	4.656
slump	4.879
slush	3.677
small	3.029
smallpox	4.265
smart	3.735
smart (intelligent)	3.667
smart (well-dressed)	5.457
smash	5.5
smear	3.5
smell	4.588
smelly	5.088
smile	2.75
smiling	2.714
smoke	4.613
smoker	4.758
smooth	2.455
snack	4.206
snail	4.464
snake	5.2
snaked	4.533
snap	4.179
snapped	3.97
snatch	3.793
snob	3.563
snort	4.735
snow	3.343
snowman	5.086
snuggle	2.182
soak	3.6
soar	3.58
sob	2.697
sober	4.294
sobriety	3.607
social	3.448
socialist	3.903
society	3.647
sock	4.5
sock (clothes)	4.182
sock (hit)	5.387
sofa	3.727
soft	2.4
softly	2.182
soil	4.471
soil (earth)	4.273
soil (mess up)	4.743
solar	4
soldier	6.364
sole	4.152
sole (fish)	3.906
sole (only)	3.882
sole (shoe)	4.094
solemn	4.519
solid	4.886
solution	3.618
solution (answer)	4.257
solution (chemical)	4.677
son	6.412
sonar	4.533
song	2.758
sonic	4.885
sonnet	3.125
soothe	2.286
soothing	2.177
sore	3.879
sorrow	3.314
soul	2.882
soup	3.333
sour	4.029
source	4.333
sovereign	4.393
sow	3.188
soya	3.333
spa	2
space	4.758
space (galaxies)	5.059
space (room)	3.912
spaceship	5.485
spade	4.926
spade (cards)	4.794
spade (shovel)	4.938
spank	4.314
spanner	5.594
spark	4.182
sparkle	2.059
speak	3.455
speaker	4.182
speaker (amplifier)	4.829
speaker (orator)	4.625
spear	5.529
special	2.909
speciality	3.286
spectacular	3.618
speech	3.647
speed	5.167
speedy	4.588
spell	3.515
spell (alphabet)	3.971
spell (magical)	2.886
spell (time period)	3.515
spelling	3.686
sperm	6.6
sphere	3.733
spherical	3.727
spider	4.429
spin	3.914
spinach	4.576
spine	3.969
spire	4.588
spirit	3.382
spirit (drink)	3.971
spirit (ghost)	3.788
spirit (intention)	3.324
spirit (soul)	2.909
spit	5.618
split	4
sponge	3.235
sponsor	4.515
spooky	4.367
spoon	3.719
sport	5.486
sports	5.455
spot	4
spot (pimple)	4
spot (stain)	3.879
spouse	3.257
spray	3.559
spread	4.2
spread (food)	3.647
spread (open)	3.571
spree	3.2
spring	2.849
spring (coil)	4.333
spring (jump)	3.714
spring (season)	2.559
spur	4.778
spurs	5.303
squad	5.531
square	4.879
squash	4.206
squash (crush)	5.147
squash (sport)	4.618
squash (vegetable)	3.912
squat	3.694
squat (crouch)	4.031
squat (short)	4.281
squeeze	3.875
squid	4.667
squirrel	3.424
stab	5.324
stack	4.414
stadium	5.471
staff	4
staff (stick)	5.273
staff (workforce)	4.324
stag	6.133
stage	3.621
stagecoach	4.765
stagnant	4.807
stain	3.862
stake	5
stake (investment)	5.353
stake (wooden)	4.938
stale	4.333
stall	4.2
stall (hesitate)	3.727
stall (kiosk)	4.235
stallion	6.364
stammer	4.433
stamp	4.143
stance	5
stand	4.367
staple	4.471
staple (mainstay)	3.933
staple (stationery)	4.394
stapler	4.647
star	2.588
star (celebrity)	2.606
star (sky)	2.914
stare	4.067
starfish	2.912
stark	4.643
start	4.074
startle	3.485
starve	3.743
starving	4.031
statue	4.647
status	4.969
statute	4.633
stay	3.912
steak	5.931
steal	4.912
stealth	4.563
steam	4.321
steel	5.303
steep	4.617
steer	4.813
steer (cows)	4.857
steer (direct)	5
stem	3.471
stem (origin)	3.941
stem (plant)	3.394
stench	4.97
stereotype	3.743
stern	4.849
stern (attitude)	4.771
stern (ship)	5.382
steroids	5.931
stethoscope	4.31
steward	4.6
stick	4.656
stick (glue)	4.147
stick (thin piece of wood)	4.457
sticky	4.314
stiff	5.194
sting	4.441
stingy	4.667
stink	5.457
stir	3.441
stir (cook)	2.912
stir (make trouble)	3.771
stir (move)	3.722
stock	4.807
stock (finance)	5.364
stock (inventory)	4.818
stock (soup)	3.576
stolen	4.765
stomach	4.088
stone	4.929
stone (rock)	5.143
stone (weight)	4.412
stool	4.457
stool (chair)	4.471
stool (faeces)	5.029
stop	4.531
storage	4.412
store	3.897
store (put away for future)	3.941
store (shop)	3.5
storeroom	4.485
storm	4.571
story	3.893
stout	5.061
stove	3.667
strain	4.529
strand	3.235
strange	4.147
stranger	4.942
strangle	5.441
strap	4.314
straw	3.909
straw (drinking)	3.571
straw (hay)	4.088
strawberry	2.912
stray	4.222
streak	4.677
stream	3.528
street	4.313
strength	5.853
stress	4.147
stressful	3.879
stretch	3.821
strict	4.25
strictly	3.735
stride	5.059
strife	4.412
strike	5.333
strike (hit)	5.794
strike (picket)	4.559
string	4.029
strip	3.531
strip (naked)	3.714
strip (narrow piece)	4.235
strip (street)	4.273
stripper	3.212
stroke	3.771
stroke (brain)	4.182
stroke (pet)	2.97
stroll	3.206
strong	5.8
struggle	4.382
stubble	6.188
stuck	4.314
student	3.943
study	4.029
stumble	4.172
stupid	4.273
style	2.382
stylish	2.206
subdue	4.121
subject	4
subjective	3.417
sublime	3.3
submarine	5.438
substance	4.029
substantial	4.382
substitute	4.152
subtle	3.182
subtract	4.412
suburb	3.333
suburbs	3.667
success	3.829
successful	3.818
suffer	4.177
suffering	3.758
suffix	4
suffocate	4.563
sugar	3
suicidal	4.429
suicide	4.088
suit	5.6
suit (legal)	4.742
suit (playing cards)	4.941
suit (special clothes)	6.121
suit (to be fit for)	4.629
suitcase	4.529
sulk	4.2
sulky	3.688
sulphur	4.588
sultan	5.5
summary	4.257
summer	2.714
sun	3.188
sunburn	3.971
sunk	4.794
sunlight	3.088
sunny	2.829
sunrise	3.226
sunset	2.4
sunshine	2.793
super	4.194
superb	3.242
supermarket	3.313
supplication	4.136
support	2.938
supportive	2.735
suppress	4.088
suppression	4.182
supreme	4.353
sure	4.086
surf	4.719
surf (breaking waves)	5.086
surf (riding waves)	4.97
surfer	5.265
surge	4.344
surgeon	5.371
surgery	4.324
surplus	4.242
surprise	2.706
surprising	3.706
surrender	4.172
surveyor	4.926
survive	4.857
survivor	4.613
suspect	4.849
suspend	4.229
suspended	4.6
suspension	4.429
suspicion	3.629
sustain	4.091
sustenance	4.241
swamp	4.735
swan	2.114
swarm	4.324
sway	3.706
sweat	5.667
sweater	3.774
sweatshirt	5.188
sweaty	5.576
sweep	3.515
sweeper	4.563
sweet	2.147
sweet (nice)	1.912
sweet (sugar)	2.514
sweetheart	2.118
sweets	2.941
swift	3.767
swift (bird)	2.882
swift (quick)	3.438
swim	3.936
swimmer	4.177
swimming	3.714
swindle	4.469
swing	3.438
sword	5.829
syllable	3.636
symbol	3.914
sympathy	2.088
symphony	2.886
symptom	3.849
synagogue	4.563
syphilis	4.226
syringe	4.032
system	4.606
table	4
table (chart)	4.743
table (desk)	4.457
tablespoon	3.485
taboo	4.086
tact	3.412
tail	3.971
take	4.324
tale	3.528
talent	3.727
talented	3.576
tall	5.559
tame	3.219
tamper	4
tandem	3.714
tangerine	3.371
tango	3.147
tango (dance)	2.765
tango (drink)	3.97
tank	5.743
tank (army)	6.375
tank (fish)	4.371
tank (storage)	5.303
tanker	5.458
tape	4.182
taper	3.931
tapestry	2.485
tarantula	4.636
target	5.088
tariff	4.706
taser	5.273
taste	3.455
tasty	3.581
taught	3.533
taxi	4.679
teach	3.129
teacher	2.781
team	4.483
tease	2.852
teasing	3.242
teaspoon	3.177
technical	5.571
technicality	5.029
technician	5.273
tedious	4.4
teeth	3.885
telephone	3.333
telescope	5.029
television	4.543
temerity	4.563
tempest	3.708
temple	3.971
temple (forehead)	3.794
temple (worship)	4.118
tempo	4.147
tempt	3.118
temptation	3.457
tendency	3.697
tender	2.441
tender (sensitive)	2.324
tender (soft)	1.941
tennis	4.29
tense	4.457
tense (strained)	4.546
tense (verb)	4.5
tension	4.576
tent	5.088
tepid	3.667
termite	4.849
terrible	4.429
terrific	4.057
terrify	4.559
terrifying	5.114
terror	5.088
terrorist	5.706
test	4.324
text	4.118
text (phone message)	3.457
text (written work)	3.939
texture	3.457
thank	3.267
thankful	3
thanks	3.121
theatre	3
theatrical	2.75
thematic	3.556
theme	3.724
theologian	4.862
theology	3.909
theoretical	4.212
theory	4.471
therapist	3.455
therapy	3.029
thermometer	4.147
thesaurus	3.879
thick	4.606
thicket	4.414
thief	5.161
thigh	2.879
thighs	2.706
thimble	2.467
thin	2.515
thinner	2.382
third	4.115
thirst	3.636
thirsty	3.886
thistle	3.889
thorn	3.939
thought	3.581
thoughtful	2.727
thoughtless	4.588
threat	5.543
threatening	5.697
thrifty	3.567
thrill	4.059
thrilling	4
throat	4.229
throne	4.371
throw	4.909
thrust	5.514
thumb	4.677
ticket	4.121
ticket (admission)	4.206
ticket (parking)	4.889
tickle	2.688
ticklish	2.735
tidy	2.882
tie	5.677
tie (bind)	4.853
tie (neck)	6.182
tie (stalemate)	4.324
tiger	4.765
tight	3.03
till	4
tilt	4.086
time	3.936
timid	3.167
tinsel	3.179
tiny	2.867
tire	4.485
tired	3.897
titan	6.219
titanic	3.943
titanic (ship)	4.032
titanic (size)	5.061
toad	4.969
toast	4.088
toast (bread)	4.206
toast (speech)	5.029
toaster	4.344
tobacco	5.455
toddler	3.257
toe	4.286
toes	3.829
toga	4.97
toilet	4.514
toll	4.706
tomahawk	5.571
tomato	3.765
tomb	4.467
tone	3.743
tone (colour)	3.212
tone (music)	3.235
tone (voice)	3.939
tongue	3.677
tool	5.788
tooth	4.077
toothache	4.125
toothbrush	4.088
top	3.857
top (apex)	4.156
top (shirt)	4.235
top (spinning)	3.941
torch	5
torch (burn)	4.636
torch (flashlight)	4.514
torment	4.781
tornado	5.429
tortoise	4.4
torture	5.412
torturer	5.879
toss	5.212
tosser	5.818
toucan	3.903
touch	2.824
touchy	2.829
tough	5.849
tour	3.853
tourist	4.143
toward	4.114
towel	3.867
tower	4.559
town	4.067
toxic	4.823
toxin	4.529
toy	4.088
toys	3.765
trace	3.912
trace (copy)	3.611
trace (small amount)	3.406
track	4.6
traction	4.71
traction (grip)	5.118
traction (medical)	4.48
tractor	5.714
trade	5.382
traffic	4.5
tragedy	3.688
tragic	3.767
trailer	4.433
train	4.677
train (bridal)	2
train (practice)	5.382
train (procession)	4.152
train (vehicle)	5.229
trainer	4.813
trainer (coach)	5.371
trainer (shoe)	4.706
traitor	5.314
tram	4.393
trample	4.938
trampled	4.353
trance	3.765
tranquil	2.844
transit	4.941
transition	3.943
transportation	4.824
trap	4.515
trapped	4.242
trash	4.886
trauma	4.519
traumatic	4.143
travel	4.107
traveller	4.424
tray	3.971
tread	4.656
treason	5.313
treasure	3.941
treasurer	4.639
treat	3.061
treaty	4.406
treble	4.177
treble (music)	3.906
treble (triple)	4.171
tree	3.889
trellis	3.727
tremble	3.182
trench	5.333
trend	3.452
trial	4.767
trial (courtroom)	4.853
trial (test)	4.147
triangle	4.229
triangular	4.065
tribal	5.333
tribe	5.133
tribute	4.121
trick	4.543
tricky	4.364
trim	3.531
trimmer	4.706
trinity	3.788
trinket	2.219
trio	3.829
triple	4.214
tripod	4.533
triumph	4.735
triumphant	4.706
troll	5.571
trophy	5.057
trot	3.636
trouble	4.914
troublesome	4.886
